State,State Code,Year,Year Code,Deaths,Population,Crude Rate,% of Total Deaths
Kentucky,21,2000,2000,542,4041769,13.4,0.10%
Kentucky,21,2001,2001,520,4068132,12.8,0.10%
Kentucky,21,2002,2002,543,4089875,13.3,0.10%
Kentucky,21,2003,2003,555,4117170,13.5,0.10%
Kentucky,21,2004,2004,548,4146101,13.2,0.10%
Kentucky,21,2005,2005,543,4182742,13,0.10%
Kentucky,21,2006,2006,527,4219239,12.5,0.10%
Kentucky,21,2007,2007,611,4256672,14.4,0.10%
Kentucky,21,2008,2008,576,4289878,13.4,0.10%
Kentucky,21,2009,2009,556,4317074,12.9,0.10%
Kentucky,21,2010,2010,551,4339367,12.7,0.10%
Kentucky,21,2011,2011,608,4369356,13.9,0.10%
Kentucky,21,2012,2012,646,4380415,14.7,0.10%
Kentucky,21,2013,2013,618,4395295,14.1,0.10%
Kentucky,21,2014,2014,629,4413457,14.3,0.10%
Kentucky,21,2015,2015,684,4425092,15.5,0.10%
Kentucky,21,2016,2016,757,4436974,17.1,0.10%
Louisiana,22,1999,1999,774,4460811,17.4,0.10%
Louisiana,22,2000,2000,787,4468976,17.6,0.10%
Louisiana,22,2001,2001,779,4477875,17.4,0.10%
Louisiana,22,2002,2002,869,4497267,19.3,0.20%
Louisiana,22,2003,2003,841,4521042,18.6,0.10%
Louisiana,22,2004,2004,899,4552238,19.7,0.20%
Louisiana,22,2005,2005,850,4576628,18.6,0.20%
Louisiana,22,2006,2006,828,4302665,19.2,0.10%
Louisiana,22,2007,2007,866,4375581,19.8,0.20%
Louisiana,22,2008,2008,822,4435586,18.5,0.10%
Louisiana,22,2009,2009,807,4491648,18,0.10%
Louisiana,22,2010,2010,863,4533372,19,0.20%
Louisiana,22,2011,2011,863,4574836,18.9,0.20%
Louisiana,22,2012,2012,842,4601893,18.3,0.10%
Louisiana,22,2013,2013,880,4625470,19,0.20%
Louisiana,22,2014,2014,891,4649676,19.2,0.20%
Louisiana,22,2015,2015,948,4670724,20.3,0.20%
Louisiana,22,2016,2016,985,4681666,21,0.20%
Maine,23,1999,1999,111,1266808,8.8,0.00%
Maine,23,2000,2000,110,1274923,8.6,0.00%
Maine,23,2001,2001,97,1285692,7.5,0.00%
Maine,23,2002,2002,87,1295960,6.7,0.00%
Maine,23,2003,2003,81,1306513,6.2,0.00%
Maine,23,2004,2004,108,1313688,8.2,0.00%
Maine,23,2005,2005,109,1318787,8.3,0.00%
Maine,23,2006,2006,103,1323619,7.8,0.00%
Maine,23,2007,2007,106,1327040,8,0.00%
Maine,23,2008,2008,119,1330509,8.9,0.00%
Maine,23,2009,2009,121,1329590,9.1,0.00%
Maine,23,2010,2010,109,1328361,8.2,0.00%
Maine,23,2011,2011,130,1328188,9.8,0.00%
Maine,23,2012,2012,128,1329192,9.6,0.00%
Maine,23,2013,2013,154,1328302,11.6,0.00%
Maine,23,2014,2014,127,1330089,9.5,0.00%
Maine,23,2015,2015,142,1329328,10.7,0.00%
Maine,23,2016,2016,122,1331479,9.2,0.00%
Maryland,24,1999,1999,643,5254509,12.2,0.10%
Maryland,24,2000,2000,604,5296486,11.4,0.10%
Maryland,24,2001,2001,598,5374691,11.1,0.10%
Maryland,24,2002,2002,607,5440389,11.2,0.10%
Maryland,24,2003,2003,640,5496269,11.6,0.10%
Maryland,24,2004,2004,648,5546935,11.7,0.10%
Maryland,24,2005,2005,647,5592379,11.6,0.10%
Maryland,24,2006,2006,660,5627367,11.7,0.10%
Maryland,24,2007,2007,663,5653408,11.7,0.10%
Maryland,24,2008,2008,645,5684965,11.3,0.10%
Maryland,24,2009,2009,572,5730388,10,0.10%
Maryland,24,2010,2010,532,5773552,9.2,0.10%
Maryland,24,2011,2011,522,5828289,9,0.10%
Maryland,24,2012,2012,571,5884563,9.7,0.10%
Maryland,24,2013,2013,564,5928814,9.5,0.10%
Maryland,24,2014,2014,529,5976407,8.9,0.10%
Maryland,24,2015,2015,696,6006401,11.6,0.10%
Maryland,24,2016,2016,690,6016447,11.5,0.10%
Massachusetts,25,1999,1999,193,6317345,3.1,0.00%
Massachusetts,25,2000,2000,175,6349097,2.8,0.00%
Massachusetts,25,2001,2001,194,6397634,3,0.00%
Massachusetts,25,2002,2002,200,6417206,3.1,0.00%
Massachusetts,25,2003,2003,203,6422565,3.2,0.00%
Massachusetts,25,2004,2004,205,6412281,3.2,0.00%
Massachusetts,25,2005,2005,223,6403290,3.5,0.00%
Massachusetts,25,2006,2006,207,6410084,3.2,0.00%
Massachusetts,25,2007,2007,232,6431559,3.6,0.00%
Massachusetts,25,2008,2008,218,6468967,3.4,0.00%
Massachusetts,25,2009,2009,203,6517613,3.1,0.00%
Massachusetts,25,2010,2010,267,6547629,4.1,0.00%
Massachusetts,25,2011,2011,247,6587536,3.7,0.00%
Massachusetts,25,2012,2012,226,6646144,3.4,0.00%
Massachusetts,25,2013,2013,200,6692824,3,0.00%
Massachusetts,25,2014,2014,223,6745408,3.3,0.00%
Massachusetts,25,2015,2015,205,6794422,3,0.00%
Massachusetts,25,2016,2016,231,6811779,3.4,0.00%
Michigan,26,1999,1999,1079,9897116,10.9,0.20%
Michigan,26,2000,2000,1057,9938444,10.6,0.20%
Michigan,26,2001,2001,1063,9991120,10.6,0.20%
Michigan,26,2002,2002,1084,10015710,10.8,0.20%
Michigan,26,2003,2003,1019,10041152,10.1,0.20%
Michigan,26,2004,2004,1043,10055315,10.4,0.20%
Michigan,26,2005,2005,1064,10051137,10.6,0.20%
Michigan,26,2006,2006,1151,10036081,11.5,0.20%
Michigan,26,2007,2007,1084,10001284,10.8,0.20%
Michigan,26,2008,2008,1076,9946889,10.8,0.20%
Michigan,26,2009,2009,1088,9901591,11,0.20%
Michigan,26,2010,2010,1065,9883640,10.8,0.20%
Michigan,26,2011,2011,1146,9876187,11.6,0.20%
Michigan,26,2012,2012,1214,9883360,12.3,0.20%
Michigan,26,2013,2013,1183,9895622,12,0.20%
Michigan,26,2014,2014,1089,9909877,11,0.20%
Michigan,26,2015,2015,1154,9922576,11.6,0.20%
Michigan,26,2016,2016,1225,9928300,12.3,0.20%
Minnesota,27,1999,1999,294,4873481,6,0.10%
Minnesota,27,2000,2000,312,4919479,6.3,0.10%
Minnesota,27,2001,2001,320,4982796,6.4,0.10%
Minnesota,27,2002,2002,303,5018935,6,0.10%
Minnesota,27,2003,2003,330,5053572,6.5,0.10%
Minnesota,27,2004,2004,360,5087713,7.1,0.10%
Minnesota,27,2005,2005,359,5119598,7,0.10%
Minnesota,27,2006,2006,329,5163555,6.4,0.10%
Minnesota,27,2007,2007,339,5207203,6.5,0.10%
Minnesota,27,2008,2008,370,5247018,7.1,0.10%
Minnesota,27,2009,2009,332,5281203,6.3,0.10%
Minnesota,27,2010,2010,355,5303925,6.7,0.10%
Minnesota,27,2011,2011,389,5344861,7.3,0.10%
Minnesota,27,2012,2012,377,5379139,7,0.10%
Minnesota,27,2013,2013,423,5420380,7.8,0.10%
Minnesota,27,2014,2014,375,5457173,6.9,0.10%
Minnesota,27,2015,2015,403,5489594,7.3,0.10%
Minnesota,27,2016,2016,422,5519952,7.6,0.10%
Mississippi,28,1999,1999,509,2828408,18,0.10%
Mississippi,28,2000,2000,468,2844658,16.5,0.10%
Mississippi,28,2001,2001,497,2852994,17.4,0.10%
Mississippi,28,2002,2002,487,2858681,17,0.10%
Mississippi,28,2003,2003,474,2868312,16.5,0.10%
Mississippi,28,2004,2004,467,2889010,16.2,0.10%
Mississippi,28,2005,2005,453,2905943,15.6,0.10%
Mississippi,28,2006,2006,469,2904978,16.1,0.10%
Mississippi,28,2007,2007,535,2928350,18.3,0.10%
Mississippi,28,2008,2008,561,2947806,19,0.10%
Mississippi,28,2009,2009,485,2958774,16.4,0.10%
Mississippi,28,2010,2010,474,2967297,16,0.10%
Mississippi,28,2011,2011,527,2978512,17.7,0.10%
Mississippi,28,2012,2012,530,2984926,17.8,0.10%
Mississippi,28,2013,2013,523,2991207,17.5,0.10%
Mississippi,28,2014,2014,540,2994079,18,0.10%
Mississippi,28,2015,2015,585,2992333,19.5,0.10%
Mississippi,28,2016,2016,581,2988726,19.4,0.10%
Missouri,29,1999,1999,706,5561948,12.7,0.10%
Missouri,29,2000,2000,739,5595211,13.2,0.10%
Missouri,29,2001,2001,743,5641142,13.2,0.10%
Missouri,29,2002,2002,693,5674825,12.2,0.10%
Missouri,29,2003,2003,654,5709403,11.5,0.10%
Missouri,29,2004,2004,663,5747741,11.5,0.10%
Missouri,29,2005,2005,750,5790300,13,0.10%
Missouri,29,2006,2006,763,5842704,13.1,0.10%
Missouri,29,2007,2007,752,5887612,12.8,0.10%
Missouri,29,2008,2008,813,5923916,13.7,0.10%
Missouri,29,2009,2009,817,5961088,13.7,0.10%
Missouri,29,2010,2010,840,5988927,14,0.10%
Missouri,29,2011,2011,849,6010688,14.1,0.20%
Missouri,29,2012,2012,879,6021988,14.6,0.20%
Missouri,29,2013,2013,875,6044171,14.5,0.20%
Missouri,29,2014,2014,933,6063589,15.4,0.20%
Missouri,29,2015,2015,1087,6083672,17.9,0.20%
Missouri,29,2016,2016,1135,6093000,18.6,0.20%
Montana,30,1999,1999,123,897507,13.7,0.00%
Montana,30,2000,2000,132,902195,14.6,0.00%
Montana,30,2001,2001,159,906961,17.5,0.00%
Montana,30,2002,2002,132,911667,14.5,0.00%
Montana,30,2003,2003,145,919630,15.8,0.00%
Montana,30,2004,2004,125,930009,13.4,0.00%
Montana,30,2005,2005,158,940102,16.8,0.00%
Montana,30,2006,2006,118,952692,12.4,0.00%
Montana,30,2007,2007,137,964706,14.2,0.00%
Montana,30,2008,2008,153,976415,15.7,0.00%
Montana,30,2009,2009,165,983982,16.8,0.00%
Montana,30,2010,2010,163,989415,16.5,0.00%
Montana,30,2011,2011,167,998199,16.7,0.00%
Montana,30,2012,2012,168,1005141,16.7,0.00%
Montana,30,2013,2013,165,1015165,16.3,0.00%
Montana,30,2014,2014,167,1023579,16.3,0.00%
Montana,30,2015,2015,201,1032949,19.5,0.00%
Montana,30,2016,2016,190,1042520,18.2,0.00%
Nebraska,31,1999,1999,145,1704764,8.5,0.00%
Nebraska,31,2000,2000,166,1711263,9.7,0.00%
Nebraska,31,2001,2001,137,1719836,8,0.00%
Nebraska,31,2002,2002,139,1728292,8,0.00%
Nebraska,31,2003,2003,130,1738643,7.5,0.00%
Nebraska,31,2004,2004,117,1749370,6.7,0.00%
Nebraska,31,2005,2005,133,1761497,7.6,0.00%
Nebraska,31,2006,2006,140,1772693,7.9,0.00%
Nebraska,31,2007,2007,139,1783440,7.8,0.00%
Nebraska,31,2008,2008,149,1796378,8.3,0.00%
Nebraska,31,2009,2009,131,1812683,7.2,0.00%
